Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes
2025-08-07,,seated chest fly,,,,6,175,
2025-08-07,,Dips,,,,3,0,
2025-08-07,,T-bar row,,,,5,80,
2025-08-07,,T-bar row,,,,5,115,
2025-08-07,,T-bar row,,,,5,150,
2025-08-07,,T-bar row,,,,6,160,
2025-08-07,,T-bar row,,,,6,160,
2025-08-07,,Preacher curl,,,,5,15,
2025-08-07,,Preacher curl,,,,7,20,
2025-08-07,,Preacher curl,,,,10,20,
2025-08-07,,Preacher curl,,,,10,20,
2025-08-07,,Preacher curl,,,,10,20,
2025-08-07,,Wrist curls ,Reverse,,,5,20,
2025-08-07,,Wrist curls ,,,,10,20,
2025-08-07,,Wrist curls ,Reverse,,,5,25,
2025-08-07,,Wrist curls ,,,,6,30,
2025-08-07,,Wrist curls ,Reverse,,,10,20,
2025-08-07,,Wrist curls ,,,,10,25,
2025-08-07,,Wrist curls ,Reverse,,,10,20,
2025-08-07,,Wrist curls ,,,,15,25,
2025-08-07,,rotary trunk twists,,,,10,6,
2025-08-07,,rotary trunk twists,,,,10,6,
2025-08-07,,rotary trunk twists,,,,10,6,
,,,,,,,,
,,,,,,,,
2025-07-08,,Barbell Squat,Low Bar,,,5,185,
2025-07-08,,Barbell Squat,Low Bar,,,5,275,
2025-07-08,,Barbell Squat,Low Bar,,,5,315,
2025-07-08,,Barbell Squat,Low Bar,,,4,315,
2025-07-08,,Barbell Squat,Low Bar,,,5,275,
2025-07-08,,Barbell Squat,Low Bar,,,5,225,
2025-07-08,,Barbell Squat,Low Bar,,,10,185,
2025-07-08,,Barbell Squat,Low Bar,,,6,185,
2025-07-08,,Leg curls,Lying,,,5,9,
2025-07-08,,Leg curls,Lying,,,5,10,
2025-07-08,,Leg curls,Lying,,,2,11,
2025-07-08,,Leg curls,Lying,,,1,10,
2025-07-08,,Leg curls,Lying,,,2,9,
2025-07-08,,Leg curls,Lying,,,2,10,
2025-07-08,,Leg curls,Lying,,,1,11,
2025-07-08,,Leg curls,Lying,,,1,10,
2025-07-08,,Leg curls,Lying,,,1,9,
2025-07-08,,Leg curls,Lying,,,6,10,
2025-07-08,,leg extension,seated,,,10,7,
2025-07-08,,leg extension,seated,,,10,12,
2025-07-08,,leg extension,one leg,,,5,12,
2025-07-08,,leg extension,one leg,,,5,12,
2025-07-08,,leg extension,one leg,,,5,12,
2025-07-08,,Leg press,,,,10,230,
2025-07-08,,Leg press,,,,10,230,
2025-07-08,,Leg press,,,,10,230,
2025-07-08,,rotary trunk twists,,,,5,2,
2025-07-08,,rotary trunk twists,,,,6,10,
2025-07-08,,rotary trunk twists,,,,6,10,
2025-07-08,,rotary trunk twists,,,,5,11,
,,,,,,,,
,,,,,,,,
2025-06-30,,Bench press,flat,,,10,135,
2025-06-30,,Bench press,flat,,,3,205,
