Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes,Weight_Unit
2025-08-07,,lever seated row,,,,5.0,15.0,,level
2025-08-07,,seated chest fly,,,,5.0,160.0,,kg
2025-08-07,,lever seated row,,,,10.0,15.0,,level
2025-08-07,,seated chest fly,,,,2.0,205.0,,kg
2025-08-07,,seated chest fly,,,,5.0,175.0,,kg
2025-08-07,,lever seated row,,,,10.0,14.0,,level
2025-08-07,,dips,,,,4.0,0.0,,kg
2025-08-07,,seated chest fly,,,,5.0,175.0,,kg
2025-08-07,,dips,,,,5.0,0.0,,kg
2025-08-07,,lever seated row,,,,6.0,14.0,,level
2025-08-07,,seated chest fly,,,,6.0,175.0,,kg
2025-08-07,,dips,,,,3.0,0.0,,kg
2025-08-07,,t-bar row,,,,5.0,80.0,,kg
2025-08-07,,t-bar row,,,,5.0,115.0,,kg
2025-08-07,,t-bar row,,,,5.0,150.0,,kg
2025-08-07,,t-bar row,,,,6.0,160.0,,kg
2025-08-07,,t-bar row,,,,6.0,160.0,,kg
2025-08-07,,preacher curl,,,,5.0,15.0,,kg
2025-08-07,,preacher curl,,,,7.0,20.0,,kg
2025-08-07,,preacher curl,,,,10.0,20.0,,kg
2025-08-07,,preacher curl,,,,10.0,20.0,,kg
2025-08-07,,preacher curl,,,,10.0,20.0,,kg
2025-08-07,,wrist curls,reverse,,,5.0,20.0,,kg
2025-08-07,,wrist curls,,,,10.0,20.0,,kg
2025-08-07,,wrist curls,reverse,,,5.0,25.0,,kg
2025-08-07,,wrist curls,,,,6.0,30.0,,kg
2025-08-07,,wrist curls,reverse,,,10.0,20.0,,kg
2025-08-07,,wrist curls,,,,10.0,25.0,,kg
2025-08-07,,wrist curls,reverse,,,10.0,20.0,,kg
2025-08-07,,wrist curls,,,,15.0,25.0,,kg
2025-08-07,,rotary trunk twists,,,,10.0,6.0,,level
2025-08-07,,rotary trunk twists,,,,10.0,6.0,,level
2025-08-07,,rotary trunk twists,,,,10.0,6.0,,level
2025-07-08,,barbell squat,low bar,,,5.0,185.0,,kg
2025-07-08,,barbell squat,low bar,,,5.0,275.0,,kg
2025-07-08,,barbell squat,low bar,,,5.0,315.0,,kg
2025-07-08,,barbell squat,low bar,,,4.0,315.0,,kg
2025-07-08,,barbell squat,low bar,,,5.0,275.0,,kg
2025-07-08,,barbell squat,low bar,,,5.0,225.0,,kg
2025-07-08,,barbell squat,low bar,,,10.0,185.0,,kg
2025-07-08,,barbell squat,low bar,,,6.0,185.0,,kg
2025-07-08,,leg curls,lying,,,5.0,9.0,,level
2025-07-08,,leg curls,lying,,,5.0,10.0,,level
2025-07-08,,leg curls,lying,,,2.0,11.0,,level
2025-07-08,,leg curls,lying,,,1.0,10.0,,level
2025-07-08,,leg curls,lying,,,2.0,9.0,,level
2025-07-08,,leg curls,lying,,,2.0,10.0,,level
2025-07-08,,leg curls,lying,,,1.0,11.0,,level
2025-07-08,,leg curls,lying,,,1.0,10.0,,level
2025-07-08,,leg curls,lying,,,1.0,9.0,,level
2025-07-08,,leg curls,lying,,,6.0,10.0,,level
2025-07-08,,leg extension,seated,,,10.0,7.0,,level
2025-07-08,,leg extension,seated,,,10.0,12.0,,level
2025-07-08,,leg extension,one leg,,,5.0,12.0,,level
2025-07-08,,leg extension,one leg,,,5.0,12.0,,level
2025-07-08,,leg extension,one leg,,,5.0,12.0,,level
2025-07-08,,leg press,,,,10.0,230.0,,kg
2025-07-08,,leg press,,,,10.0,230.0,,kg
2025-07-08,,leg press,,,,10.0,230.0,,kg
2025-07-08,,rotary trunk twists,,,,5.0,2.0,,level
2025-07-08,,rotary trunk twists,,,,6.0,10.0,,level
2025-07-08,,rotary trunk twists,,,,6.0,10.0,,level
2025-07-08,,rotary trunk twists,,,,5.0,11.0,,level
2025-06-30,,bench press,flat,,,10.0,135.0,,kg
2025-06-30,,bench press,flat,,,3.0,205.0,,kg
2025-06-30,,bench press,flat,,,3.0,195.0,,kg
2025-06-30,,bench press,flat,,,3.0,185.0,,kg
2025-06-30,,bench press,flat,,,3.0,185.0,,kg
2025-06-30,,bench press,flat,,,3.0,185.0,,kg
2025-06-30,,lat pulldown,wide,,,10.0,9.0,,level
2025-06-30,,bench press,incline,,,5.0,135.0,,kg
2025-06-30,,lat pulldown,wide,,,5.0,12.0,,level
2025-06-30,,bench press,incline,,,3.0,145.0,,kg
2025-06-30,,lat pulldown,wide,,,10.0,11.0,,level
